,Host,CID_Host,Guest,CID_Guest,pH,T,DeltaG,Erreur,K,logK,Reference,Original_Value,Drop
645,beta-cyclodextrin,444041,dansyl-l-arginine,13734230.0,7.0,298.0,-11.3,0.0,96,," Kinoshita, T.; Iinuma, F.; Tsuji, A. Chem. Pharm. Bull. 1974, 22, 2413-2420.",DeltaG,False
646,beta-cyclodextrin,444041,3-methyl-1-butanol,31260.0,7.0,298.0,-12.84,0.0,178,," Matsui, Y.; Nishioka, T.; Fujita, T. Quantitative structure-reactivityanalysis of the inclusion mechanism by cyclodextrins. Topics Curr. Chem. 1985, 128, 61-89.",DeltaG,False
647,beta-cyclodextrin,444041,dansyl-l-asparagine,11417217.0,7.0,298.0,-11.7,0.0,112,," Kinoshita, T.; Iinuma, F.; Tsuji, A. Chem. Pharm. Bull. 1974, 22, 2413-2420.",DeltaG,False
648,beta-cyclodextrin,444041,dansyl-l-cysteic acid,4654432.0,7.0,298.0,-12.1,0.0,132,," Kinoshita, T.; Iinuma, F.; Tsuji, A. Chem. Pharm. Bull. 1974, 22, 2413-2420.",DeltaG,False
649,beta-cyclodextrin,444041,3-methyl-2-butanol,11732.0,7.0,298.0,-10.96,0.0,83,," Matsui, Y.; Nishioka, T.; Fujita, T. Quantitative structure-reactivityanalysis of the inclusion mechanism by cyclodextrins. Topics Curr. Chem. 1985, 128, 61-89.",DeltaG,False
650,beta-cyclodextrin,444041,dansyl-l-glutamine,13766788.0,7.0,298.0,-12.1,0.0,132,," Kinoshita, T.; Iinuma, F.; Tsuji, A. Chem. Pharm. Bull. 1974, 22, 2413-2420.",DeltaG,False
651,beta-cyclodextrin,444041,dansyl-l-histidine,91725869.0,7.0,298.0,-12.6,0.0,162,," Kinoshita, T.; Iinuma, F.; Tsuji, A. Chem. Pharm. Bull. 1974, 22, 2413-2420.",DeltaG,False
652,beta-cyclodextrin,444041,dansyl-l-isoleucine,6602171.0,7.0,298.0,-13.0,0.0,190,," Kinoshita, T.; Iinuma, F.; Tsuji, A. Chem. Pharm. Bull. 1974, 22, 2413-2420.",DeltaG,False
653,beta-cyclodextrin,444041,dansyl-l-leucine,150881.0,7.0,298.0,-13.0,0.0,190,," Kinoshita, T.; Iinuma, F.; Tsuji, A. Chem. Pharm. Bull. 1974, 22, 2413-2420.",DeltaG,False
654,beta-cyclodextrin,444041,"1,5-pentanediol",8105.0,7.0,298.0,-6.97,0.0,17,," Matsui, Y.; Nishioka, T.; Fujita, T. Quantitative structure-reactivityanalysis of the inclusion mechanism by cyclodextrins. Topics Curr. Chem. 1985, 128, 61-89.",DeltaG,False
655,beta-cyclodextrin,444041,nepsilon-dansyl-l-lysine,121945.0,7.0,298.0,-13.4,0.0,223,," Kinoshita, T.; Iinuma, F.; Tsuji, A. Chem. Pharm. Bull. 1974, 22, 2413-2420.",DeltaG,False
656,beta-cyclodextrin,444041,dansyl-l-phenylalanine,13734199.0,7.0,298.0,-10.9,0.0,81,," Kinoshita, T.; Iinuma, F.; Tsuji, A. Chem. Pharm. Bull. 1974, 22, 2413-2420.",DeltaG,False
657,beta-cyclodextrin,444041,"1,4-dibromobenzene",7804.0,7.0,298.0,-16.98,0.0,947,," Liu, L.; Guo, Q.-X. Wavelet neural network and its application to the inclusion of (cid:226)-cyclodextrin with benzene derivatives. J. Chem. Inf. Comput. Sci. 1999, 39, 133-138.",DeltaG,False
658,beta-cyclodextrin,444041,dansyl-l-proline,688442.0,7.0,298.0,-13.4,0.0,223,," Kinoshita, T.; Iinuma, F.; Tsuji, A. Chem. Pharm. Bull. 1974, 22, 2413-2420.",DeltaG,False
659,beta-cyclodextrin,444041,dansyl-l-serine,598788.0,7.0,298.0,-12.6,0.0,162,," Kinoshita, T.; Iinuma, F.; Tsuji, A. Chem. Pharm. Bull. 1974, 22, 2413-2420.",DeltaG,False
660,beta-cyclodextrin,444041,dansyl-l-tryptophan,13734208.0,7.0,298.0,-14.6,0.0,362,," Kinoshita, T.; Iinuma, F.; Tsuji, A. Chem. Pharm. Bull. 1974, 22, 2413-2420.",DeltaG,False
661,beta-cyclodextrin,444041,"3,5-dibromophenol",12280.0,7.0,298.0,-14.61,0.0,364,," Matsui, Y.; Nishioka, T.; Fujita, T. Quantitative structure-reactivityanalysis of the inclusion mechanism by cyclodextrins. Topics Curr. Chem. 1985, 128, 61-89.",DeltaG,False
662,beta-cyclodextrin,444041,dansyl-l-valine,13734194.0,7.0,298.0,-12.6,0.0,162,," Kinoshita, T.; Iinuma, F.; Tsuji, A. Chem. Pharm. Bull. 1974, 22, 2413-2420.",DeltaG,False
663,alpha-cyclodextrin,444913,"3,5-dichlorophenol",11571.0,7.0,298.0,-14.44,0.0,340,," Matsui, Y.; Nishioka, T.; Fujita, T. Quantitative structure-reactivityanalysis of the inclusion mechanism by cyclodextrins. Topics Curr. Chem. 1985, 128, 61-89.",DeltaG,False
664,beta-cyclodextrin,444041,decanoate,4678093.0,7.0,298.0,-21.8,0.0,6627,," Gelb, R. I.; Schwartz, L. M. J. Inclusion Phenom. Mol. Recognit. Chem. 1989, 7, 465-476.",DeltaG,False
665,beta-cyclodextrin,444041,"3,5-dichlorophenol",11571.0,7.0,298.0,-11.82,0.0,118,," Matsui, Y.; Nishioka, T.; Fujita, T. Quantitative structure-reactivityanalysis of the inclusion mechanism by cyclodextrins. Topics Curr. Chem. 1985, 128, 61-89.",DeltaG,False
666,beta-cyclodextrin,444041,decanoic acid,2969.0,7.0,298.0,-22.9,0.0,10331,," Gelb, R. I.; Schwartz, L. M. J. Inclusion Phenom. Mol. Recognit. Chem. 1989, 7, 465-476.",DeltaG,False
667,alpha-cyclodextrin,444913,1-chloro-4-nitrobenzene,7474.0,7.0,298.0,-10.45,0.0,68,," Connors, K. A. Population characteristics of cyclodextrin complexstabilities in aqueous solution. J. Pharm. Sci. 1995, 84, 843-848.",DeltaG,False
668,beta-cyclodextrin,444041,dicumarol,54676038.0,8.4,298.0,-20.5,0.0,3922,," Otagiri, M.; Fokkens, J. G.; Hardee, G. E.; Perrin, J. H. Pharm. Acta Helv. 1978, 53, 241-247.",DeltaG,False
669,beta-cyclodextrin,444041,1-chloro-4-nitrobenzene,7474.0,7.0,298.0,-12.27,0.0,142,," Liu, L.; Guo, Q.-X. Wavelet neural network and its application to the inclusion of (cid:226)-cyclodextrin with benzene derivatives. J. Chem. Inf. Comput. Sci. 1999, 39, 133-138.",DeltaG,False
670,beta-cyclodextrin,444041,didansyl-l-lysine,9851901.0,7.0,298.0,-13.0,0.0,190,," Kinoshita, T.; Iinuma, F.; Tsuji, A. Chem. Pharm. Bull. 1974, 22, 2413-2420.",DeltaG,False
671,beta-cyclodextrin,444041,"2,2-dimethyl-1-propanol",6404.0,7.0,298.0,-15.5,0.0,521,," Matsui, Y.; Mochida, K. Bull. Chem. Soc. Jpn. 1979, 52, 2808- 2814.",DeltaG,False
672,beta-cyclodextrin,444041,fluorobenzene,10008.0,7.0,298.0,-11.18,0.0,91,," Liu, L.; Guo, Q.-X. Wavelet neural network and its application to the inclusion of (cid:226)-cyclodextrin with benzene derivatives. J. Chem. Inf. Comput. Sci. 1999, 39, 133-138.",DeltaG,False
673,beta-cyclodextrin,444041,diphenyl phosphate,13282.0,7.0,298.0,-13.1,0.0,198,," Hamai, S. Bull. Chem. Soc. Jpn. 1986, 59, 2979-2982.",DeltaG,False
674,beta-cyclodextrin,444041,bromobenzene,7961.0,7.0,298.0,-14.28,0.0,319,," Liu, L.; Guo, Q.-X. Wavelet neural network and its application to the inclusion of (cid:226)-cyclodextrin with benzene derivatives. J. Chem. Inf. Comput. Sci. 1999, 39, 133-138.",DeltaG,False
675,beta-cyclodextrin,444041,diphenylpyraline,3103.0,7.0,298.0,-20.4,0.0,3766,," Mwakibete, H.; Bloor, D. M.; Wyn-Jones, E. J. Inclusion Phenom. Mol. Recognit. Chem. 1991, 10, 497-505.",DeltaG,False
676,beta-cyclodextrin,444041,doxepin,667477.0,7.0,298.0,-23.5,0.0,13162,," Valsami, G. N.; Koupparis, M. A.; Macheras, P. E. Pharm. Res. 1992, 9, 94-100.",DeltaG,False
677,beta-cyclodextrin,444041,iodobenzene,11575.0,7.0,298.0,-16.71,0.0,849,," Liu, L.; Guo, Q.-X. Wavelet neural network and its application to the inclusion of (cid:226)-cyclodextrin with benzene derivatives. J. Chem. Inf. Comput. Sci. 1999, 39, 133-138.",DeltaG,False
678,beta-cyclodextrin,444041,4-fluorophenol,9732.0,7.0,298.0,-9.87,0.0,54,," Matsui, Y.; Nishioka, T.; Fujita, T. Quantitative structure-reactivityanalysis of the inclusion mechanism by cyclodextrins. Topics Curr. Chem. 1985, 128, 61-89.",DeltaG,False
679,beta-cyclodextrin,444041,ethinyloestradiol,5991.0,7.0,298.0,-15.4,0.0,501,," Sadlej-Sosnowska, N. J. Chromatogr. A 1996, 728, 89-95.",DeltaG,False
680,alpha-cyclodextrin,444913,3-chlorophenol,7933.0,7.0,298.0,-12.39,0.0,149,," Matsui, Y.; Nishioka, T.; Fujita, T. Quantitative structure-reactivityanalysis of the inclusion mechanism by cyclodextrins. Topics Curr. Chem. 1985, 128, 61-89.",DeltaG,False
681,beta-cyclodextrin,444041,3-ethylphenyl acetate,76462.0,10.0,298.0,-15.0,3.0,426,," VanEtten, R. L.; Sebastian, J. F.; Clowes, G. A.; Bender, M. L. J. Am. Chem. Soc. 1967, 89, 3242-3253.",DeltaG,False
682,alpha-cyclodextrin,444913,4-chlorophenol,4684.0,7.0,298.0,-13.99,0.0,283,," Matsui, Y.; Nishioka, T.; Fujita, T. Quantitative structure-reactivityanalysis of the inclusion mechanism by cyclodextrins. Topics Curr. Chem. 1985, 128, 61-89.",DeltaG,False
683,beta-cyclodextrin,444041,hexanoate,4398339.0,7.0,298.0,-10.44,0.13,68,," Gelb, R. I.; Schwartz, L. M. J. Inclusion Phenom. Mol. Recognit. Chem. 1989, 7, 465-476.",DeltaG,False
684,beta-cyclodextrin,444041,hexobarbital,3608.0,5.0,298.0,-16.4,0.0,749,," Hardee, G. E.; Otagiri, M.; Perrin, J. H. Acta Pharm. Suec. 1978, 15, 188-199.",DeltaG,False
685,beta-cyclodextrin,444041,3-bromophenol,11563.0,7.0,298.0,-14.33,0.0,325,," Matsui, Y.; Nishioka, T.; Fujita, T. Quantitative structure-reactivityanalysis of the inclusion mechanism by cyclodextrins. Topics Curr. Chem. 1985, 128, 61-89.",DeltaG,False
686,beta-cyclodextrin,444041,4-bromophenol,7808.0,7.0,298.0,-15.12,0.0,447,," Liu, L.; Guo, Q.-X. Wavelet neural network and its application to the inclusion of (cid:226)-cyclodextrin with benzene derivatives. J. Chem. Inf. Comput. Sci. 1999, 39, 133-138.",DeltaG,False
687,beta-cyclodextrin,444041,4-hydroxycoumarin,54682930.0,7.4,298.0,-13.1,0.0,198,," Otagiri, M.; Fokkens, J. G.; Hardee, G. E.; Perrin, J. H. Pharm. Acta Helv. 1978, 53, 241-247.",DeltaG,False
688,beta-cyclodextrin,444041,(4-hydroxyphenethyl)ammonium,5249538.0,6.9,298.0,-10.53,0.07,70,," Ross, P. D.; Rekharsky, M. V. Biophys. J. 1996, 71, 2144-2154.",DeltaG,False
689,beta-cyclodextrin,444041,(4-hydroxyphenethyl)ammonium,5249538.0,5.0,298.0,-10.27,0.03,63,," Rekharsky, M. V.; Goldberg, R. N.; Schwarz, F. P.; Tewari, Y. B.; Ross, P. D.; Yamashoji, Y.; Inoue, Y. J. Am. Chem. Soc. 1995, 117, 8830-8840.",DeltaG,False
690,beta-cyclodextrin,444041,3-iodophenol,12272.0,7.0,298.0,-16.73,0.0,856,," Matsui, Y.; Nishioka, T.; Fujita, T. Quantitative structure-reactivityanalysis of the inclusion mechanism by cyclodextrins. Topics Curr. Chem. 1985, 128, 61-89.",DeltaG,False
691,alpha-cyclodextrin,444913,4-iodophenol,10894.0,7.0,298.0,-19.01,0.0,2149,," Matsui, Y.; Nishioka, T.; Fujita, T. Quantitative structure-reactivityanalysis of the inclusion mechanism by cyclodextrins. Topics Curr. Chem. 1985, 128, 61-89.",DeltaG,False
692,beta-cyclodextrin,444041,3-(4-hydroxyphenyl)-1-propanol,82452.0,7.0,298.0,-17.0,0.0,955,," Kano, K.; Tamiya, Y.; Hashimoto, S. J. Inclusion Phenom. Mol. Recognit. Chem. 1992, 13, 287-293.",DeltaG,False
693,beta-cyclodextrin,444041,3-(2-hydroxyphenyl)propionate,873.0,6.9,298.0,-10.89,0.06,81,," Ross, P. D.; Rekharsky, M. V. Biophys. J. 1996, 71, 2144-2154.",DeltaG,False
694,beta-cyclodextrin,444041,4-iodophenol,10894.0,7.0,298.0,-17.0,0.0,955,," Liu, L.; Guo, Q.-X. Wavelet neural network and its application to the inclusion of (cid:226)-cyclodextrin with benzene derivatives. J. Chem. Inf. Comput. Sci. 1999, 39, 133-138.",DeltaG,False
695,alpha-cyclodextrin,444913,nitrobenzene,7416.0,7.0,298.0,-17.81,0.0,1324,," Matsui, Y.; Nishioka, T.; Fujita, T. Quantitative structure-reactivityanalysis of the inclusion mechanism by cyclodextrins. Topics Curr. Chem. 1985, 128, 61-89.",DeltaG,False
696,beta-cyclodextrin,444041,3-(4-hydroxyphenyl)propionate,5460080.0,6.9,298.0,-14.11,0.03,297,," Ross, P. D.; Rekharsky, M. V. Biophys. J. 1996, 71, 2144-2154.",DeltaG,False
697,beta-cyclodextrin,444041,ibuprofen,3672.0,2.0,298.0,-28.9,1.3,116383,," Menard, F. A.; Dedhiya, M. G.; Rhodes, C. T. Drug Dev. Ind. Pharm. 1990, 16, 91-113.",DeltaG,False
698,beta-cyclodextrin,444041,nitrobenzene,7416.0,7.0,298.0,-11.64,0.0,110,," Park, J. H.; Nah, T. H. Binding forces contributing to the complexationof organic molecules with (cid:226)-cyclodextrin in aqueous solution. J. Chem.",DeltaG,False
699,beta-cyclodextrin,444041,imipramin,3696.0,7.0,298.0,-22.5,0.0,8791,," Valsami, G. N.; Koupparis, M. A.; Macheras, P. E. Pharm. Res. 1992, 9, 94-100.",DeltaG,False
700,beta-cyclodextrin,444041,4-nitrophenol,980.0,7.0,298.0,-14.76,0.0,387,," Liu, L.; Guo, Q.-X. Wavelet neural network and its application to the inclusion of (cid:226)-cyclodextrin with benzene derivatives. J. Chem. Inf. Comput. Sci. 1999, 39, 133-138.",DeltaG,False
701,beta-cyclodextrin,444041,ketoprofen,3825.0,2.0,298.0,-16.3,0.0,720,," Orienti, I.; Fini, A.; Bertasi, V.; Zecchi, V. Eur. J. Pharm. Biopharm. 1991, 37, 110-112.",DeltaG,False
702,beta-cyclodextrin,444041,maprotilin,4011.0,7.0,298.0,-21.0,0.0,4798,," Valsami, G. N.; Koupparis, M. A.; Macheras, P. E. Pharm. Res. 1992, 9, 94-100.",DeltaG,False
703,beta-cyclodextrin,444041,benzene,241.0,7.0,298.0,-12.72,0.0,170,," Inoue, Y.; Hakushi, T.; Liu, Y.; Tong, L.-H.; Shen, B.-J.; Jin, D.-S.Thermodynamics of molecular recognition by cyclodextrins. 1. Calorimetric titration of inclusion complexation of naphthalene- sulfonates with R-, 􏰅-, and γ-cyclodextrins: Enthalpy-entropy compensation. J. Am. Chem. Soc. 1993, 115, 475-481.",DeltaG,False
704,beta-cyclodextrin,444041,mefenamic acid,4044.0,7.0,298.0,-15.9,0.0,613,," Ikeda, K.; Uekama, K.; Otagiri, M. Chem. Pharm. Bull. 1975, 23, 201-208.",DeltaG,False
705,beta-cyclodextrin,444041,hydroquinone,785.0,7.0,298.0,-11.72,0.0,113,," Liu, L.; Guo, Q.-X. Wavelet neural network and its application to the inclusion of (cid:226)-cyclodextrin with benzene derivatives. J. Chem. Inf. Comput. Sci. 1999, 39, 133-138.",DeltaG,False
706,beta-cyclodextrin,444041,mephobarbital,8271.0,7.0,298.0,-18.3,0.0,1614,," Miyaji, T.; Kurono, Y.; Uekama, K.; Ikeda, K. Chem. Pharm. Bull. 1976, 24, 1155-1159.",DeltaG,False
707,beta-cyclodextrin,444041,mephobarbital,8271.0,5.0,298.0,-18.1,0.0,1489,," Otagiri, M.; Miyaji, T.; Uekama, K.; Ikeda, K. Chem. Pharm. Bull. 1976, 24, 1146-1154.",DeltaG,False
708,beta-cyclodextrin,444041,1-methoxynaphthalene,16668.0,7.0,298.0,-17.9,0.0,1373,," Guo, Q.-X.; Zheng, X.-Q.; Ruan, X.-Q.; Luo, S.-H.; Liu, Y.-C J. Inclusion Phenom. Mol. Recognit. Chem. 1996, 26, 175-183.",DeltaG,False
709,beta-cyclodextrin,444041,4-nitroaniline,7475.0,7.0,298.0,-14.18,0.0,306,," Liu, L.; Guo, Q.-X. Wavelet neural network and its application to the inclusion of (cid:226)-cyclodextrin with benzene derivatives. J. Chem. Inf. Comput. Sci. 1999, 39, 133-138.",DeltaG,False
710,beta-cyclodextrin,444041,3-methoxyphenylacetate,6930763.0,6.9,298.0,-9.02,0.08,38,," Rekharsky, M. V.; Mayhew, M. P.; Goldberg, R. N.; Ross, P. D.; Yamashoji, Y.; Inoue, Y.; A J. Phys. Chem. 1997, 101, 87-100.",DeltaG,False
711,beta-cyclodextrin,444041,4-methoxyphenylacetate,4740745.0,6.9,298.0,-10.51,0.06,70,," Rekharsky, M. V.; Mayhew, M. P.; Goldberg, R. N.; Ross, P. D.; Yamashoji, Y.; Inoue, Y.; A J. Phys. Chem. 1997, 101, 87-100.",DeltaG,False
712,beta-cyclodextrin,444041,sulfanilamide,5333.0,7.0,298.0,-15.79,0.0,586,," Klein, C. Th.; Polheim, D.; Viernstein, H.; Wolschann, P. A methodfor predicting the free energies of complexation between (cid:226)-cyclodextrin and guest molecules. J. Incl. Phenom. Macro. Chem. 2000, 36, 409- 423.",DeltaG,False
713,alpha-cyclodextrin,444913,cyclohexanol,7966.0,7.0,298.0,-10.33,0.0,65,," Inoue, Y.; Hakushi, T.; Liu, Y.; Tong, L.-H.; Shen, B.-J.; Jin, D.-S.Thermodynamics of molecular recognition by cyclodextrins. 1. Calorimetric titration of inclusion complexation of naphthalene- sulfonates with R-, 􏰅-, and γ-cyclodextrins: Enthalpy-entropy compensation. J. Am. Chem. Soc. 1993, 115, 475-481.",DeltaG,False
714,beta-cyclodextrin,444041,methyl orange (acid form),11037.0,7.0,298.0,-13.5,0.4,232,," Gelb, R. I.; Schwartz, L. M. J. Inclusion Phenom. Mol. Recognit. Chem. 1989, 7, 537-543.",DeltaG,False
715,beta-cyclodextrin,444041,1-methylcyclohexanol,11550.0,6.9,298.0,-17.47,0.08,1154,," Rekharsky, M. V.; Mayhew, M. P.; Goldberg, R. N.; Ross, P. D.; Yamashoji, Y.; Inoue, Y.; A J. Phys. Chem. 1997, 101, 87-100.",DeltaG,False
716,beta-cyclodextrin,444041,cyclohexanol,7966.0,7.0,298.0,-15.27,0.0,475,," Inoue, Y.; Hakushi, T.; Liu, Y.; Tong, L.-H.; Shen, B.-J.; Jin, D.-S.Thermodynamics of molecular recognition by cyclodextrins. 1. Calorimetric titration of inclusion complexation of naphthalene- sulfonates with R-, 􏰅-, and γ-cyclodextrins: Enthalpy-entropy compensation. J. Am. Chem. Soc. 1993, 115, 475-481.",DeltaG,False
717,beta-cyclodextrin,444041,3-methylcyclohexanol,11566.0,6.9,298.0,-16.66,0.05,832,," Rekharsky, M. V.; Mayhew, M. P.; Goldberg, R. N.; Ross, P. D.; Yamashoji, Y.; Inoue, Y.; A J. Phys. Chem. 1997, 101, 87-100.",DeltaG,True
718,beta-cyclodextrin,444041,1-hexanol,8103.0,7.0,298.0,-13.31,0.0,215,," Inoue, Y.; Hakushi, T.; Liu, Y.; Tong, L.-H.; Shen, B.-J.; Jin, D.-S.Thermodynamics of molecular recognition by cyclodextrins. 1. Calorimetric titration of inclusion complexation of naphthalene- sulfonates with R-, 􏰅-, and γ-cyclodextrins: Enthalpy-entropy compensation. J. Am. Chem. Soc. 1993, 115, 475-481.",DeltaG,False
719,beta-cyclodextrin,444041,cis-4-methylcyclohexanol,11524.0,6.9,298.0,-18.07,0.05,1471,," Rekharsky, M. V.; Mayhew, M. P.; Goldberg, R. N.; Ross, P. D.; Yamashoji, Y.; Inoue, Y.; A J. Phys. Chem. 1997, 101, 87-100.",DeltaG,True
720,beta-cyclodextrin,444041,trans-4-methylcyclohexanol,11524.0,6.9,298.0,-19.0,0.07,2141,," Rekharsky, M. V.; Mayhew, M. P.; Goldberg, R. N.; Ross, P. D.; Yamashoji, Y.; Inoue, Y.; A J. Phys. Chem. 1997, 101, 87-100.",DeltaG,True
721,beta-cyclodextrin,444041,2-hexanol,12297.0,7.0,298.0,-11.3,0.0,96,," Matsui, Y.; Nishioka, T.; Fujita, T. Quantitative structure-reactivityanalysis of the inclusion mechanism by cyclodextrins. Topics Curr. Chem. 1985, 128, 61-89.",DeltaG,False
722,beta-cyclodextrin,444041,3-o-methyldopamine,1669.0,6.9,298.0,-5.9,1.1,11,," Rekharsky, M. V.; Goldberg, R. N.; Schwarz, F. P.; Tewari, Y. B.; Ross, P. D.; Yamashoji, Y.; Inoue, Y. J. Am. Chem. Soc. 1995, 117, 8830-8840.",DeltaG,False
723,beta-cyclodextrin,444041,2-methyl-2-pentanol,11543.0,7.0,298.0,-11.36,0.0,98,," Matsui, Y.; Nishioka, T.; Fujita, T. Quantitative structure-reactivityanalysis of the inclusion mechanism by cyclodextrins. Topics Curr. Chem. 1985, 128, 61-89.",DeltaG,False
724,beta-cyclodextrin,444041,3-o-methyldopamine,1669.0,5.0,298.0,-3.6,1.3,4,," Rekharsky, M. V.; Goldberg, R. N.; Schwarz, F. P.; Tewari, Y. B.; Ross, P. D.; Yamashoji, Y.; Inoue, Y. J. Am. Chem. Soc. 1995, 117, 8830-8840.",DeltaG,False
725,beta-cyclodextrin,444041,4-o-methyldopamine,1748.0,5.0,298.0,-9.78,0.07,52,," Rekharsky, M. V.; Goldberg, R. N.; Schwarz, F. P.; Tewari, Y. B.; Ross, P. D.; Yamashoji, Y.; Inoue, Y. J. Am. Chem. Soc. 1995, 117, 8830-8840.",DeltaG,False
726,alpha-cyclodextrin,444913,4-methyl-2-pentanol,7910.0,7.0,298.0,-9.82,0.0,53,," Matsui, Y.; Nishioka, T.; Fujita, T. Quantitative structure-reactivityanalysis of the inclusion mechanism by cyclodextrins. Topics Curr. Chem. 1985, 128, 61-89.",DeltaG,False
727,beta-cyclodextrin,444041,1-methylnaphthalene,7002.0,7.0,298.0,-16.2,0.0,691,," Guo, Q.-X.; Zheng, X.-Q.; Ruan, X.-Q.; Luo, S.-H.; Liu, Y.-C J. Inclusion Phenom. Mol. Recognit. Chem. 1996, 26, 175-183.",DeltaG,False
728,beta-cyclodextrin,444041,(3-methylphenyl)acetate,12121.0,6.9,298.0,-6.1,0.3,12,," Rekharsky, M. V.; Mayhew, M. P.; Goldberg, R. N.; Ross, P. D.; Yamashoji, Y.; Inoue, Y.; A J. Phys. Chem. 1997, 101, 87-100.",DeltaG,False
729,beta-cyclodextrin,444041,4-methyl-2-pentanol,7910.0,7.0,298.0,-11.64,0.0,110,," Matsui, Y.; Nishioka, T.; Fujita, T. Quantitative structure-reactivityanalysis of the inclusion mechanism by cyclodextrins. Topics Curr. Chem. 1985, 128, 61-89.",DeltaG,False
730,beta-cyclodextrin,444041,5-methylresorcinol,10436.0,7.0,298.0,-9.8,0.0,52,," Siimer, E.; Ko˜bu, M.; Kurvits, M. Thermochim. Acta 1990, 170, 89-95.",DeltaG,False
731,beta-cyclodextrin,444041,"3,3-dimethyl-2-butanol",10045.0,7.0,298.0,-15.7,0.0,565,," Matsui, Y.; Nishioka, T.; Fujita, T. Quantitative structure-reactivityanalysis of the inclusion mechanism by cyclodextrins. Topics Curr. Chem. 1985, 128, 61-89.",DeltaG,False
732,beta-cyclodextrin,444041,naphthalene,931.0,7.0,298.0,-16.2,0.0,691,," Guo, Q.-X.; Zheng, X.-Q.; Ruan, X.-Q.; Luo, S.-H.; Liu, Y.-C J. Inclusion Phenom. Mol. Recognit. Chem. 1996, 26, 175-183.",DeltaG,False
733,beta-cyclodextrin,444041,1-naphthaleneacetate,4583824.0,7.0,298.0,-24.8,0.3,22243,," Inoue, Y.; Hakushi, T.; Liu, Y.; Tong, L.-H.; Shen, B.-J.; Jin, D.- S. J. Am. Chem. Soc. 1993, 115, 475-481.",DeltaG,False
734,beta-cyclodextrin,444041,1-naphthalenecarboxamide,75244.0,7.0,298.0,-15.0,0.0,426,," Guo, Q.-X.; Zheng, X.-Q.; Ruan, X.-Q.; Luo, S.-H.; Liu, Y.-C J. Inclusion Phenom. Mol. Recognit. Chem. 1996, 26, 175-183.",DeltaG,False
735,beta-cyclodextrin,444041,"1,6-hexanediol",12374.0,7.0,298.0,-9.65,0.0,49,," Matsui, Y.; Nishioka, T.; Fujita, T. Quantitative structure-reactivityanalysis of the inclusion mechanism by cyclodextrins. Topics Curr. Chem. 1985, 128, 61-89.",DeltaG,False
736,beta-cyclodextrin,444041,2-naphthalenecarboxylate,4398214.0,8.6,298.0,-14.3,0.2,321,," Godı´nez, L. A.; Schwartz, L.; Criss, C. M.; Kaifer, A. E. J. Phys. Chem. B 1997, 101, 3376-3380.",DeltaG,False
737,beta-cyclodextrin,444041,benzonitrile,7505.0,7.0,298.0,-12.74,0.0,171,," Liu, L.; Guo, Q.-X. Wavelet neural network and its application to the inclusion of (cid:226)-cyclodextrin with benzene derivatives. J. Chem. Inf. Comput. Sci. 1999, 39, 133-138.",DeltaG,True
738,beta-cyclodextrin,444041,1-naphthalenecarboxylic acid,6847.0,1.5,298.0,-14.5,0.0,348,," Guo, Q.-X.; Zheng, X.-Q.; Ruan, X.-Q.; Luo, S.-H.; Liu, Y.-C J. Inclusion Phenom. Mol. Recognit. Chem. 1996, 26, 175-183.",DeltaG,False
739,beta-cyclodextrin,444041,"2,6-naphthalenedisulfonate",4460503.0,7.0,298.0,-18.8,0.03,1975,," Inoue, Y.; Hakushi, T.; Liu, Y.; Tong, L.-H.; Shen, B.-J.; Jin, D.- S. J. Am. Chem. Soc. 1993, 115, 475-481.",DeltaG,False
740,beta-cyclodextrin,444041,"2,7-naphthalenedisulfonate",1551223.0,7.0,298.0,-13.9,0.1,273,," Inoue, Y.; Hakushi, T.; Liu, Y.; Tong, L.-H.; Shen, B.-J.; Jin, D.- S. J. Am. Chem. Soc. 1993, 115, 475-481.",DeltaG,False
741,beta-cyclodextrin,444041,4-nitrobenzoic acid,6108.0,7.0,298.0,-13.36,0.0,220,," Liu, L.; Guo, Q.-X. Wavelet neural network and its application to the inclusion of (cid:226)-cyclodextrin with benzene derivatives. J. Chem. Inf. Comput. Sci. 1999, 39, 133-138.",DeltaG,False
742,alpha-cyclodextrin,444913,benzaldehyde,240.0,7.0,298.0,-19.35,0.0,2465,," Connors, K. A. Population characteristics of cyclodextrin complexstabilities in aqueous solution. J. Pharm. Sci. 1995, 84, 843-848.",DeltaG,False
743,beta-cyclodextrin,444041,1-naphthalenesulfonate,4224596.0,7.0,298.0,-19.4,0.3,2516,," Inoue, Y.; Hakushi, T.; Liu, Y.; Tong, L.-H.; Shen, B.-J.; Jin, D.- S. J. Am. Chem. Soc. 1993, 115, 475-481.",DeltaG,False
744,beta-cyclodextrin,444041,"2,3,6-naphthalenetrisulfonate",44141284.0,7.0,298.0,-12.7,0.2,168,," Inoue, Y.; Hakushi, T.; Liu, Y.; Tong, L.-H.; Shen, B.-J.; Jin, D.- S. J. Am. Chem. Soc. 1993, 115, 475-481.",DeltaG,False
745,beta-cyclodextrin,444041,benzaldehyde,240.0,7.0,298.0,-10.16,0.0,60,," Park, J. H.; Nah, T. H. Binding forces contributing to the complexationof organic molecules with (cid:226)-cyclodextrin in aqueous solution. J. Chem.",DeltaG,False
